id,gender,age,recency,frequency,amount,tau,treatment_rate,treatment,y0,y1,outcome
1,m,23,7,5,11580,712,0.6866580154941525,1,11580,12292,12196
2,f,28,22,6,11378,1324,0.4426698236099339,1,11378,12702,12717
3,f,21,14,3,10087,596,0.6773225506512617,1,10087,10683,10820
4,f,32,10,5,12558,1304,0.2274606994434747,0,12558,13862,13480
5,m,35,3,4,9199,1934,0.08659535603554237,1,9199,11133,10626
6,m,37,2,5,10638,1903,0.07164268047168829,0,10638,12541,10685
7,f,33,14,7,13286,1059,0.15226920626307824,0,13286,14345,12660
8,f,31,19,2,8518,1611,0.19057574401777516,0,8518,10129,9145
9,f,18,1,9,13613,160,0.5346450169923507,0,13613,13773,13596
10,m,37,16,5,11042,1830,0.09118176894544865,0,11042,12872,11186
11,f,44,13,7,14022,487,0.0,0,14022,14509,13640
12,m,22,19,6,12690,467,0.6592094613808992,1,12690,13157,14636
13,m,21,15,2,8358,516,0.42865113885847517,0,8358,8874,8431
14,m,19,15,3,10283,409,0.6749547222247875,0,10283,10692,10949
15,f,36,12,4,11392,1776,0.11443444306537584,0,11392,13168,10522
16,m,19,13,7,11693,349,0.7392439510650737,1,11693,12042,12665
17,f,29,9,7,13374,841,0.2844170797012816,0,13374,14215,12893
18,m,18,6,8,12165,257,0.7451730473845047,0,12165,12422,12267
19,m,34,9,3,10788,1915,0.1510066450430302,0,10788,12703,10424
20,f,26,6,4,10602,1186,0.5327333736138035,0,10602,11788,10181
21,m,32,8,5,11545,1648,0.22856213914303092,0,11545,13193,11117
22,m,21,16,9,13237,329,0.5889215890521186,0,13237,13566,13130
23,f,23,5,3,10641,801,0.6832553005662291,1,10641,11442,10603
24,f,24,10,4,10400,938,0.6058200331192388,0,10400,11338,9603
25,f,21,2,5,10791,574,0.7522263212390322,1,10791,11365,11515
26,m,21,9,3,9095,571,0.5663875454565634,1,9095,9666,9634
27,f,18,18,4,10607,328,0.7137067378781639,1,10607,10935,11624
28,m,35,10,6,12857,1259,0.09968658522738984,0,12857,14116,13185
29,m,33,4,4,11282,1773,0.2102889620668601,0,11282,13055,10319
30,m,26,9,11,15643,203,0.20990041833872372,1,15643,15846,15442
31,m,38,9,2,10869,1809,0.04710438774677089,0,10869,12678,10436
32,m,45,7,9,14089,420,0.0006686118619115191,0,14089,14509,14807
33,m,23,13,3,9080,786,0.5458724718301591,0,9080,9866,9469
34,m,32,8,7,12412,1358,0.24384133169133615,0,12412,13770,12711
35,f,32,11,5,12265,1412,0.22978622839198168,1,12265,13677,14601
36,f,24,6,5,12381,686,0.6139883448137349,0,12381,13067,12428
37,m,18,15,5,10852,321,0.7344645479095835,1,10852,11173,10892
38,f,54,20,6,11464,190,0.014089546440762426,0,11464,11654,11384
39,f,33,8,3,9231,1892,0.12251519329122687,0,9231,11123,9720
40,f,30,10,7,13666,802,0.271465430772767,0,13666,14468,14131
41,f,33,12,5,12407,1403,0.18871141119141976,1,12407,13810,14053
42,m,54,11,5,11962,172,0.013087440613381683,0,11962,12134,12664
43,f,28,14,5,10968,1398,0.43739868227309103,0,10968,12366,11206
44,m,30,15,7,13289,929,0.26558180979533,0,13289,14218,12910
45,f,31,2,5,11785,1509,0.27936602038752784,0,11785,13294,11924
46,m,41,12,5,12021,1268,0.03320799826940859,0,12021,13289,12593
47,f,33,11,8,14595,594,0.12388859728504803,1,14595,15189,14801
48,m,18,19,6,11903,273,0.7155622532373369,1,11903,12176,11142
49,m,18,11,2,8689,306,0.49920663510261,1,8689,8995,9835
50,m,40,5,7,13321,918,0.019162043684352488,0,13321,14239,13309
51,m,32,19,1,7644,1400,0.13067820925703813,0,7644,9044,6890
52,m,27,18,5,12090,1049,0.5102784844451643,0,12090,13139,13010
53,m,22,17,5,9932,704,0.6738364100668813,1,9932,10636,10830
54,f,47,19,6,12197,624,0.00340690719704905,0,12197,12821,12881
55,f,32,5,3,9523,1870,0.20699787226063604,0,9523,11393,8884
