dataset,model,split,n,rmse,mae,smape,pinball
era5_actual,seasonal_naive_d7,val,4320,2.6742161451050923,1.7911990740740744,16.674565156617373,
era5_actual,seasonal_naive_d7,test,8880,7.311580739170252,4.9635585585585575,29.698541299266417,
era5_actual,lgbm_point,val,4320,1.7958109520509562,1.2350012953812524,12.413797503325746,
era5_actual,lgbm_point,test,8880,5.4186629512084785,3.677263380716763,23.9610799911479,
era5_actual,lgbm_q10,val,4320,2.3644552200785505,1.5496784415170517,16.570583531227992,0.2161778034618427
era5_actual,lgbm_q10,test,8880,8.606871617459905,6.641630212670303,45.129729473570585,0.7296612925001827
era5_actual,lgbm_q50,val,4320,1.6535137326882472,1.0700732366922832,10.729172568642257,0.5350366183461416
era5_actual,lgbm_q50,test,8880,5.324495764812299,3.5969009145844404,23.564585630806658,1.7984504572922202
era5_actual,lgbm_q90,val,4320,2.9100730853193757,2.2201257980799802,18.782740626173727,0.3332346777708214
era5_actual,lgbm_q90,test,8880,6.359326921803912,4.512139082373768,24.455912547504035,1.1152600252244054
analysis,seasonal_naive_d7,val,4320,2.6742161451050923,1.7911990740740744,16.674565156617373,
analysis,seasonal_naive_d7,test,8880,7.311580739170252,4.9635585585585575,29.698541299266417,
analysis,lgbm_point,val,4320,1.8054409009500147,1.237449226744879,12.407663422725904,
analysis,lgbm_point,test,8880,5.381214696359146,3.657139629901076,23.487563594963373,
analysis,lgbm_q10,val,4320,2.2981113903959742,1.5078892036580904,16.26519341936654,0.21581417907855063
analysis,lgbm_q10,test,8880,8.24478855008728,6.262543012007188,42.98135749821644,0.7053058324806076
analysis,lgbm_q50,val,4320,1.6722722087841975,1.0907585338859158,10.95504875422802,0.5453792669429579
analysis,lgbm_q50,test,8880,5.175676934339404,3.4627597328684447,22.593075949720514,1.7313798664342224
analysis,lgbm_q90,val,4320,2.938156018156115,2.2081268566407566,18.651386788393467,0.3372161630549079
analysis,lgbm_q90,test,8880,6.109052391248154,4.39612389102706,24.147163282853352,1.1157177927088462
fc_weather,seasonal_naive_d7,val,4320,2.6742161451050923,1.7911990740740744,16.674565156617373,
fc_weather,seasonal_naive_d7,test,8880,7.311580739170252,4.9635585585585575,29.698541299266417,
fc_weather,lgbm_point,val,4320,1.7901302449086078,1.2213433226716786,12.277754101915614,
fc_weather,lgbm_point,test,8880,5.467601072809511,3.7479743303843156,24.738016249214674,
fc_weather,lgbm_q10,val,4320,2.3261949941631643,1.5180065929437994,16.304453080673706,0.2181391661343184
fc_weather,lgbm_q10,test,8880,8.511242056576275,6.53602197357673,44.672657011951024,0.721113817427116
fc_weather,lgbm_q50,val,4320,1.6750688178255808,1.090193287391373,10.874368549721662,0.5450966436956864
fc_weather,lgbm_q50,test,8880,5.311172840895923,3.601071710903238,23.76140460493703,1.800535855451619
fc_weather,lgbm_q90,val,4320,2.863097972959362,2.2014778685921716,18.70119854876868,0.3305334274133888
fc_weather,lgbm_q90,test,8880,5.859382553714133,4.240343575755644,23.67183769775193,1.1166705217189694
gateclose,seasonal_naive_d7,val,4320,2.6742161451050923,1.7911990740740744,16.674565156617373,
gateclose,seasonal_naive_d7,test,8880,7.311580739170252,4.9635585585585575,29.698541299266417,
gateclose,lgbm_point,val,4320,1.8776646902934144,1.2785715973167666,12.705558648208202,
gateclose,lgbm_point,test,8880,5.355395727379467,3.544836876919723,21.81649832981938,
gateclose,lgbm_q10,val,4320,2.485822009244537,1.6648405175705319,16.626657286079492,0.2410339602004602
gateclose,lgbm_q10,test,8880,7.893629326116538,5.884168594613505,38.683416406674176,0.7457421667032067
gateclose,lgbm_q50,val,4320,1.7450620046224716,1.1019413923123562,11.170335840245283,0.5509706961561781
gateclose,lgbm_q50,test,8880,5.119071918422487,3.422136306262982,21.364389474058086,1.711068153131491
gateclose,lgbm_q90,val,4320,2.9810241502496755,2.184658894709846,18.76511996461213,0.3355384640677845
gateclose,lgbm_q90,test,8880,6.921672938921179,5.253146804128606,27.66369956403063,0.9912210983492096
