model,split,n,rmse,mae,smape
ensemble_mean,test,8736,3.894509954760279,2.217317714201941,18.68340712355066
ensemble_mean,val,4416,2.0218816411498035,1.199714197151739,8.728429650691014
ensemble_opt,test,8736,3.9061613319098316,2.197099768224793,18.40282399493088
ensemble_opt,val,4416,2.0121195619612133,1.171767552745656,8.476541503919515
lightgbm,test,8736,3.944396523050712,2.355034014215425,19.693743929152845
lightgbm,val,4416,2.075754727779176,1.3170405725559338,9.683900355204562
lightgbm_huber,test,8736,4.070066693312006,2.2727275452818554,18.707994581165806
lightgbm_huber,val,4416,2.0502884940522232,1.19141307713662,8.646830200885955
lightgbm_log1p,test,8736,4.151279486527402,2.403562235795378,20.31038007418782
lightgbm_log1p,val,4416,2.1901868156782274,1.3250642124386347,9.7921481438109
lightgbm_q50,test,8736,3.95872660548563,2.2275928787016617,18.651598828552743
lightgbm_q50,val,4416,2.0192192690228157,1.1809229061575595,8.547332499955914
lightgbm_q50_dev_prev_day,test,8736,3.816626757221406,2.1870726480918035,18.560513576070512
lightgbm_q50_dev_prev_day,val,4416,2.045446959843566,1.2232513673958858,8.905166329044668
seasonal_naive_d7,test,8736,5.877800383748199,3.3892433608058607,26.75114914307589
seasonal_naive_d7,val,4416,3.038855314320972,1.7489221014492753,12.501014137252897
