単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/9/1,0:00,31470,0,16604,5986,541,1585,1149,0,303,0,0,59,0,-5,0,5070,178,31470
2025/9/1,0:30,30148,0,15341,5986,540,1662,1164,0,303,0,0,69,0,-365,0,5223,226,30149
2025/9/1,1:00,29150,0,15353,5986,541,1700,1081,0,302,0,0,78,0,-1067,0,4968,209,29151
2025/9/1,1:30,28368,0,15154,5991,541,1734,996,0,303,0,0,83,0,-1876,0,5224,218,28368
2025/9/1,2:00,27808,0,14748,5988,541,1759,902,0,302,0,0,98,0,-2005,0,5262,212,27807
2025/9/1,2:30,27561,0,15037,5990,542,1774,900,0,303,0,0,109,0,-2114,0,4810,211,27562
2025/9/1,3:00,27493,0,15113,5982,541,1898,966,0,303,0,0,102,0,-2267,0,4642,214,27494
2025/9/1,3:30,27400,0,14827,5988,541,1910,997,0,304,0,0,106,0,-2067,0,4586,207,27399
2025/9/1,4:00,27461,0,15075,5986,541,1923,975,0,303,0,0,110,0,-2245,0,4580,211,27459
2025/9/1,4:30,27772,0,15005,5989,541,1898,978,0,303,0,0,110,0,-1850,0,4612,186,27772
2025/9/1,5:00,28432,0,14902,5989,542,1909,961,0,303,2,0,108,0,-1112,0,4671,157,28432
2025/9/1,5:30,28950,0,14955,5984,541,1891,936,0,303,237,0,108,0,-522,0,4320,197,28950
2025/9/1,6:00,30643,0,14910,5987,542,1868,901,0,305,998,0,86,0,0,0,4831,214,30642
2025/9/1,6:30,32806,0,15712,5987,547,1861,903,0,304,2136,0,85,0,0,0,5106,163,32804
2025/9/1,7:00,35772,0,16480,5985,549,1878,973,0,302,3668,0,84,0,0,0,5660,191,35770
2025/9/1,7:30,39042,0,18254,6011,553,1882,971,0,301,5430,0,90,0,0,0,5402,147,39041
2025/9/1,8:00,42725,0,19764,6088,554,1867,1153,0,297,7133,0,84,0,56,0,5554,176,42726
2025/9/1,8:30,45971,0,21520,6085,554,1915,1159,0,296,8839,0,82,0,71,0,5272,178,45971
2025/9/1,9:00,48727,0,22099,6089,552,1873,1827,0,294,10296,0,58,0,71,0,5384,184,48727
2025/9/1,9:30,50230,0,22148,6086,550,1891,1742,0,294,11520,0,60,0,70,0,5682,186,50229
2025/9/1,10:00,51287,0,22070,6086,548,1849,1881,0,292,12558,0,64,0,71,0,5680,188,51287
2025/9/1,10:30,52267,0,21874,6089,549,1933,1881,0,292,13329,0,90,0,70,0,5971,188,52266
2025/9/1,11:00,52960,0,22154,6091,556,1977,1918,0,293,13817,0,92,0,70,0,5803,189,52960
2025/9/1,11:30,53549,0,22449,6091,556,1929,1924,0,293,14085,0,121,0,70,0,5842,189,53549
2025/9/1,12:00,53077,0,21856,6085,554,1927,1760,0,291,14043,0,122,0,70,0,6180,189,53077
2025/9/1,12:30,53217,0,22656,6089,584,1941,1770,0,291,13790,0,93,0,60,1,5753,189,53217
2025/9/1,13:00,54244,0,23538,6085,639,1899,1778,0,290,13224,0,97,0,58,0,6448,189,54245
2025/9/1,13:30,54579,0,24468,6088,638,1886,1809,0,289,12292,0,103,0,89,2,6727,188,54579
2025/9/1,14:00,54665,0,25358,6089,636,1888,1833,0,289,11135,0,133,0,902,0,6215,186,54664
2025/9/1,14:30,54584,0,25884,6087,636,1897,1882,0,289,9763,0,126,0,1765,0,6069,185,54583
2025/9/1,15:00,54251,0,26065,6105,638,1903,2233,0,290,8128,0,152,0,2869,2,5680,185,54250
2025/9/1,15:30,54204,0,26188,6172,641,1915,2388,0,291,6298,0,138,0,3854,9,6125,186,54205
2025/9/1,16:00,53739,0,26324,6175,648,1920,2483,0,292,4371,0,127,0,5034,21,6160,185,53740
2025/9/1,16:30,52816,0,26546,6172,649,1929,2490,0,291,2582,0,116,0,5916,27,5914,185,52817
2025/9/1,17:00,51044,0,26451,6174,651,1927,2484,0,296,1177,0,103,0,5677,27,5891,186,51044
2025/9/1,17:30,49608,0,26404,6171,652,1916,2496,0,297,316,0,100,0,5389,27,5654,186,49608
2025/9/1,18:00,48848,0,26307,6174,652,1920,2379,0,301,3,0,132,0,5795,28,4967,190,48848
2025/9/1,18:30,48356,0,26014,6170,652,1918,2360,0,301,0,0,133,0,5111,24,5485,188,48356
2025/9/1,19:00,47069,0,25925,6174,654,1899,2275,0,302,0,0,134,0,3500,11,6007,188,47069
2025/9/1,19:30,45779,0,25658,6103,651,1916,2244,0,303,0,0,128,0,2213,1,6378,185,45780
2025/9/1,20:00,44370,0,25024,6081,651,1903,2116,0,303,0,0,132,0,1144,0,6827,189,44370
2025/9/1,20:30,43313,0,24612,6082,649,1845,2116,0,303,0,0,147,0,501,0,6858,200,43313
2025/9/1,21:00,41888,0,24201,6082,646,1854,2065,0,304,0,0,186,0,366,0,5998,188,41890
2025/9/1,21:30,40524,0,23397,6083,646,1860,2045,0,304,0,0,183,0,286,0,5514,206,40524
2025/9/1,22:00,39288,0,22943,6012,636,1785,1161,0,304,0,0,191,0,241,0,5832,183,39288
2025/9/1,22:30,38106,0,22074,5984,632,1793,1068,0,305,0,0,168,0,0,0,5881,200,38105
2025/9/1,23:00,36626,0,20520,5985,580,1792,1028,0,304,0,0,167,0,-107,0,6152,205,36626
2025/9/1,23:30,35094,0,19641,5986,537,1812,998,0,304,0,0,161,0,-603,0,6118,141,35095
2025/9/2,0:00,33543,0,19162,5987,537,1822,1089,0,301,0,0,168,0,-1704,0,6045,136,33543
2025/9/2,0:30,31889,0,18697,5987,538,1826,1115,0,301,0,0,170,0,-2184,0,5246,192,31888
2025/9/2,1:00,30889,0,18615,5988,537,1834,1020,0,301,0,0,156,0,-2792,0,5031,198,30888
2025/9/2,1:30,30016,0,18386,5989,538,1827,1016,0,302,0,0,154,0,-3408,0,5000,211,30015
2025/9/2,2:00,29469,0,18338,5989,539,1860,979,0,301,0,0,149,0,-4078,0,5179,213,29469
2025/9/2,2:30,29142,0,17885,5990,539,1887,992,0,302,0,0,146,0,-4221,0,5410,212,29142
2025/9/2,3:00,28968,0,18354,5989,539,1854,1030,0,302,0,0,116,0,-4560,0,5124,219,28967
2025/9/2,3:30,28873,0,18293,5989,539,1855,1146,0,303,0,0,111,0,-4566,0,4992,211,28873
2025/9/2,4:00,28814,0,18298,5989,539,1847,1152,0,302,0,0,111,0,-4553,0,4914,216,28815
2025/9/2,4:30,29141,0,18600,5990,539,1869,1136,0,301,0,0,107,0,-4565,0,4978,186,29141
2025/9/2,5:00,29658,0,19471,5996,538,1865,1127,0,301,2,0,104,0,-4487,0,4540,201,29658
2025/9/2,5:30,30114,0,19581,5994,535,1871,1062,0,300,235,0,103,0,-4254,0,4531,156,30114
2025/9/2,6:00,31700,0,19858,5993,535,1934,1063,0,302,1142,0,84,0,-4042,0,4642,188,31699
2025/9/2,6:30,33911,0,20419,5992,541,1873,1110,0,301,2555,0,75,0,-4082,0,4937,188,33909
2025/9/2,7:00,36906,0,21145,5992,545,1835,1174,0,301,4393,0,68,0,-3817,0,5087,182,36905
2025/9/2,7:30,40087,0,20582,6013,547,1836,1171,0,301,6432,0,65,0,-2898,0,5896,141,40086
2025/9/2,8:00,43741,0,21177,6088,548,1847,1174,0,296,8339,0,63,0,-1471,0,5504,176,43741
2025/9/2,8:30,47063,0,22096,6088,548,1829,1166,0,294,10000,0,64,0,-101,0,4903,177,47064
2025/9/2,9:00,49726,0,23141,6086,548,1822,1782,0,293,11435,0,65,0,0,1,4369,183,49725
2025/9/2,9:30,51220,0,23385,6088,546,1820,1943,0,291,12613,0,70,0,0,2,4276,187,51221
2025/9/2,10:00,52129,0,23035,6088,542,1855,1927,0,291,13525,0,75,0,0,1,4602,187,52128
2025/9/2,10:30,53001,0,23383,6086,547,1851,1928,0,291,14100,0,83,0,0,1,4544,187,53001
2025/9/2,11:00,53634,0,23997,6084,549,1815,1799,0,291,14343,0,92,0,0,2,4474,188,53634
2025/9/2,11:30,54054,0,24465,6086,547,1783,1794,0,291,14373,0,105,0,0,4,4418,188,54054
2025/9/2,12:00,53526,0,24046,6083,527,1795,1740,0,288,14135,0,112,0,0,1,4610,189,53526
