number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_dropout,params_hidden,params_lr,params_wd,user_attrs_val_kendall,user_attrs_val_mae,system_attrs_tpe:relative_params:0,state
0,0.808013921934258,2026-09-15 04:30:46.013640,2026-09-15 04:30:49.199796,0 days 00:00:03.186156,0.40581311290499433,0.9507143064099162,0.02613762547568976,256,0.00190303683817358,6.358358856676247e-05,0.6899614249019607,2.897277355194092,,COMPLETE
1,0.8111913248756678,2026-09-15 04:30:49.199840,2026-09-15 04:30:51.723204,0 days 00:00:02.523364,0.7226689489062432,0.020584494295802447,0.08253202943404522,256,0.0002814509271606064,3.752055855124284e-05,0.6814835829615825,1.5753422975540161,,COMPLETE
2,0.77313829836823,2026-09-15 04:30:51.723270,2026-09-15 04:30:54.009220,0 days 00:00:02.285950,0.46034776771000996,0.2912291401980419,0.20523149289766618,256,0.0014447746112718689,3.972110727381911e-06,0.7124808879466498,2.4627490043640137,,COMPLETE
3,0.8261503987694125,2026-09-15 04:30:54.009269,2026-09-15 04:31:02.431446,0 days 00:00:08.422177,0.538522716492931,0.5924145688620425,0.42699849176399995,512-256,0.0026690431824362526,0.0002661901888489054,0.7061888769924326,1.8402010202407837,,COMPLETE
4,0.7587962111457164,2026-09-15 04:31:02.431500,2026-09-15 04:31:04.737471,0 days 00:00:02.305971,0.33938308071470213,0.09767211400638387,0.015474834501848278,256,0.0022038218939289885,5.975027999960295e-06,0.6999115177008227,3.1091222763061523,,COMPLETE
5,0.8354619764570026,2026-09-15 04:31:04.737503,2026-09-15 04:31:24.672190,0 days 00:00:19.934687,0.6793961701362828,0.31171107608941095,0.34880977051250156,1024-512,0.002442046084491142,0.00048359527764659497,0.7031018363160312,1.5482509136199951,,COMPLETE
6,0.8655199934840927,2026-09-15 04:31:24.672241,2026-09-15 04:31:43.834283,0 days 00:00:19.162042,0.6180049798705309,0.9218742350231168,0.1749047803602669,1024-512,0.0002516607127550297,0.0003063462210622083,0.7350910706297357,1.750481128692627,,COMPLETE
7,0.8402841538770954,2026-09-15 04:31:43.834335,2026-09-15 04:32:01.544220,0 days 00:00:17.709885,0.3889156603589098,0.28093450968738076,0.4440991214702328,512-256-128,0.0013826083091896758,3.945908811099999e-06,0.718881264847126,2.341325283050537,,COMPLETE
8,0.8090748398951634,2026-09-15 04:32:01.544266,2026-09-15 04:32:16.319496,0 days 00:00:14.775230,0.05524601126742228,0.8154614284548342,0.16130957784492267,512-256-128,0.0001483039268456802,0.00038842777547031416,0.740258400893365,7.1494293212890625,,COMPLETE
9,0.8539398849970669,2026-09-15 04:32:16.319562,2026-09-15 04:32:22.963660,0 days 00:00:06.644098,0.64213322048618,0.3308980248526492,0.2869008621098459,1024-512,0.002044187835249379,2.6100256506134754e-05,0.7083634706414521,1.5293959379196167,,COMPLETE
10,0.8689433191209732,2026-09-15 04:32:22.963724,2026-09-15 04:32:30.761505,0 days 00:00:07.797781,0.9862832870076422,0.613987891998637,0.08394708280815749,1024-512,0.00021854692889942425,0.0003647555590967817,0.7016586277409175,1.183570384979248,"{""alpha"": 0.9862832870076422, ""beta"": 0.613987891998637, ""dropout"": 0.08394708280815749, ""hidden"": ""1024-512"", ""lr"": 0.00021854692889942425, ""wd"": 0.0003647555590967817}",COMPLETE
11,0.8678680911449703,2026-09-15 04:32:30.761537,2026-09-15 04:32:37.448195,0 days 00:00:06.686658,0.8793119426168686,0.9395807044800972,0.1783858313026242,1024-512,0.00031284200171931303,0.0008736434142342214,0.7248233958433826,1.2427935600280762,"{""alpha"": 0.8793119426168686, ""beta"": 0.9395807044800972, ""dropout"": 0.1783858313026242, ""hidden"": ""1024-512"", ""lr"": 0.00031284200171931303, ""wd"": 0.0008736434142342214}",COMPLETE
12,0.8780226698837489,2026-09-15 04:32:37.448227,2026-09-15 04:33:03.326014,0 days 00:00:25.877787,0.8366102114181798,0.5365819835922514,0.19016888003572052,1024-512,0.00027815792581617065,0.0009109989957845938,0.7337037423665878,1.1726418733596802,"{""alpha"": 0.8366102114181798, ""beta"": 0.5365819835922514, ""dropout"": 0.19016888003572052, ""hidden"": ""1024-512"", ""lr"": 0.00027815792581617065, ""wd"": 0.0009109989957845938}",COMPLETE
13,0.8681654927390217,2026-09-15 04:33:03.326044,2026-09-15 04:33:28.815035,0 days 00:00:25.488991,0.8783075781866927,0.5271712915917989,0.11080745937957279,1024-512,0.00048618988250389916,0.00024735117437360826,0.7317065957099489,1.2521756887435913,"{""alpha"": 0.8783075781866927, ""beta"": 0.5271712915917989, ""dropout"": 0.11080745937957279, ""hidden"": ""1024-512"", ""lr"": 0.00048618988250389916, ""wd"": 0.00024735117437360826}",COMPLETE
14,0.8579752890306576,2026-09-15 04:33:28.815098,2026-09-15 04:33:56.814172,0 days 00:00:27.999074,0.7478016904428251,0.6378268490277545,0.2792896284240302,1024-512,0.0007869227599565251,0.00012089800798952287,0.7316201728433528,1.3697837591171265,"{""alpha"": 0.7478016904428251, ""beta"": 0.6378268490277545, ""dropout"": 0.2792896284240302, ""hidden"": ""1024-512"", ""lr"": 0.0007869227599565251, ""wd"": 0.00012089800798952287}",COMPLETE
15,0.8727810838924726,2026-09-15 04:33:56.814289,2026-09-15 04:34:21.070291,0 days 00:00:24.256002,0.9432952275655864,0.3768845180471846,0.3401382654498083,1024-512,0.00011936050221963621,0.00033747183866290875,0.7381375169263399,1.1685959100723267,"{""alpha"": 0.9432952275655864, ""beta"": 0.3768845180471846, ""dropout"": 0.3401382654498083, ""hidden"": ""1024-512"", ""lr"": 0.00011936050221963621, ""wd"": 0.00033747183866290875}",COMPLETE
16,0.8691153208433265,2026-09-15 04:34:21.070359,2026-09-15 04:34:39.222116,0 days 00:00:18.151757,0.9064801698616672,0.23175760457712635,0.3090325292231288,1024-512,0.00018915771979992937,3.5131331563403916e-05,0.7322001850358377,1.1871055364608765,"{""alpha"": 0.9064801698616672, ""beta"": 0.23175760457712635, ""dropout"": 0.3090325292231288, ""hidden"": ""1024-512"", ""lr"": 0.00018915771979992937, ""wd"": 3.5131331563403916e-05}",COMPLETE
17,0.8462192527880521,2026-09-15 04:34:39.222150,2026-09-15 04:34:55.296691,0 days 00:00:16.074541,0.9620193761317578,0.509365716912528,0.16351327007939073,1024-512,0.0001067649576807753,4.9917414972043215e-05,0.7206754459842923,1.165195345878601,"{""alpha"": 0.9620193761317578, ""beta"": 0.509365716912528, ""dropout"": 0.16351327007939073, ""hidden"": ""1024-512"", ""lr"": 0.0001067649576807753, ""wd"": 4.9917414972043215e-05}",COMPLETE
18,0.8679401590023832,2026-09-15 04:34:55.296756,2026-09-15 04:35:24.315934,0 days 00:00:29.019178,0.8954062368426385,0.1695638773149449,0.3961605471789704,1024-512,0.00028564440687336046,0.0003252537511636326,0.7372078833285921,1.1996026039123535,"{""alpha"": 0.8954062368426385, ""beta"": 0.1695638773149449, ""dropout"": 0.3961605471789704, ""hidden"": ""1024-512"", ""lr"": 0.00028564440687336046, ""wd"": 0.0003252537511636326}",COMPLETE
19,0.8640730447167685,2026-09-15 04:35:24.315967,2026-09-15 04:35:45.987939,0 days 00:00:21.671972,0.9367090600636846,0.3537459279785488,0.30786459825747736,1024-512,0.00016567617228922438,0.0002620619600876136,0.7305276094749668,1.1544773578643799,"{""alpha"": 0.9367090600636846, ""beta"": 0.3537459279785488, ""dropout"": 0.30786459825747736, ""hidden"": ""1024-512"", ""lr"": 0.00016567617228922438, ""wd"": 0.0002620619600876136}",COMPLETE
20,0.8666800623466748,2026-09-15 04:35:45.988003,2026-09-15 04:36:08.680859,0 days 00:00:22.692856,0.8685317345202269,0.42319317260493766,0.207559819751248,1024-512,0.00010800876629169385,0.00018312866355281682,0.7283279738627576,1.170593023300171,"{""alpha"": 0.8685317345202269, ""beta"": 0.42319317260493766, ""dropout"": 0.207559819751248, ""hidden"": ""1024-512"", ""lr"": 0.00010800876629169385, ""wd"": 0.00018312866355281682}",COMPLETE
21,0.8710658589003665,2026-09-15 04:36:08.680892,2026-09-15 04:36:36.331828,0 days 00:00:27.650936,0.7247252088798959,0.11192401889890691,0.37577885574499126,1024-512,0.00015693808182536579,3.9965202009748225e-05,0.7424988975306459,1.2899442911148071,"{""alpha"": 0.7247252088798959, ""beta"": 0.11192401889890691, ""dropout"": 0.37577885574499126, ""hidden"": ""1024-512"", ""lr"": 0.00015693808182536579, ""wd"": 3.9965202009748225e-05}",COMPLETE
22,0.8659749436017621,2026-09-15 04:36:36.331911,2026-09-15 04:37:03.334897,0 days 00:00:27.002986,0.6283578363347239,0.23840947998459747,0.37336580610662107,1024-512,0.0002067478717863223,0.000754093610301386,0.7460194252635498,1.5552890300750732,"{""alpha"": 0.6283578363347239, ""beta"": 0.23840947998459747, ""dropout"": 0.37336580610662107, ""hidden"": ""1024-512"", ""lr"": 0.0002067478717863223, ""wd"": 0.000754093610301386}",COMPLETE
23,0.8648202703304733,2026-09-15 04:37:03.334968,2026-09-15 04:37:45.380418,0 days 00:00:42.045450,0.5848158351691315,0.6119256109430544,0.023928637832401844,1024-512,0.00042448410649561716,0.0005395058223227393,0.7419523114430661,1.7351270914077759,"{""alpha"": 0.5848158351691315, ""beta"": 0.6119256109430544, ""dropout"": 0.023928637832401844, ""hidden"": ""1024-512"", ""lr"": 0.00042448410649561716, ""wd"": 0.0005395058223227393}",COMPLETE
24,0.8643875597150761,2026-09-15 04:37:45.380463,2026-09-15 04:38:08.944849,0 days 00:00:23.564386,0.6452394023424111,0.2793371831758752,0.3671042353764785,1024-512,0.00012007746037909885,5.332771971748123e-05,0.7435623135654773,1.4702345132827759,"{""alpha"": 0.6452394023424111, ""beta"": 0.2793371831758752, ""dropout"": 0.3671042353764785, ""hidden"": ""1024-512"", ""lr"": 0.00012007746037909885, ""wd"": 5.332771971748123e-05}",COMPLETE
25,0.8659777398155938,2026-09-15 04:38:08.944883,2026-09-15 04:38:28.538723,0 days 00:00:19.593840,0.6709633072652539,0.00022452791377286507,0.29636778227185595,1024-512,0.000146988650323021,8.413820516937631e-05,0.7430690415229783,1.381057620048523,"{""alpha"": 0.6709633072652539, ""beta"": 0.00022452791377286507, ""dropout"": 0.29636778227185595, ""hidden"": ""1024-512"", ""lr"": 0.000146988650323021, ""wd"": 8.413820516937631e-05}",COMPLETE
26,0.8747872178441165,2026-09-15 04:38:28.538755,2026-09-15 04:39:05.110435,0 days 00:00:36.571680,0.7688936186088087,0.21329478453552544,0.4356664396712601,1024-512,0.00011049933570965269,4.385385304346222e-05,0.7467802457105688,1.2085962295532227,"{""alpha"": 0.7688936186088087, ""beta"": 0.21329478453552544, ""dropout"": 0.4356664396712601, ""hidden"": ""1024-512"", ""lr"": 0.00011049933570965269, ""wd"": 4.385385304346222e-05}",COMPLETE
27,0.8825707067598737,2026-09-15 04:39:05.110468,2026-09-15 04:39:29.038538,0 days 00:00:23.928070,0.7748293314066054,0.4058366872483853,0.40341676511204794,1024-512,0.00013391572930285185,0.0005247502992224159,0.7419492802668641,1.2085548639297485,"{""alpha"": 0.7748293314066054, ""beta"": 0.4058366872483853, ""dropout"": 0.40341676511204794, ""hidden"": ""1024-512"", ""lr"": 0.00013391572930285185, ""wd"": 0.0005247502992224159}",COMPLETE
28,0.8706593506517221,2026-09-15 04:39:29.038572,2026-09-15 04:39:46.435722,0 days 00:00:17.397150,0.8156636407834579,0.12355235353958949,0.3893033831560322,1024-512,0.00011059396123227965,0.0004434434701183096,0.7390349007899114,1.1667370796203613,"{""alpha"": 0.8156636407834579, ""beta"": 0.12355235353958949, ""dropout"": 0.3893033831560322, ""hidden"": ""1024-512"", ""lr"": 0.00011059396123227965, ""wd"": 0.0004434434701183096}",COMPLETE
29,0.8733590922157403,2026-09-15 04:39:46.435753,2026-09-15 04:40:11.630081,0 days 00:00:25.194328,0.8300231120371173,0.4406879491052151,0.41310539338275143,1024-512,0.00023451333205876473,0.0002729079465038335,0.7392281328108761,1.2423902750015259,"{""alpha"": 0.8300231120371173, ""beta"": 0.4406879491052151, ""dropout"": 0.41310539338275143, ""hidden"": ""1024-512"", ""lr"": 0.00023451333205876473, ""wd"": 0.0002729079465038335}",COMPLETE
30,0.8749956033037902,2026-09-15 04:40:11.630120,2026-09-15 04:40:43.983251,0 days 00:00:32.353131,0.9078338936858532,0.3320386109158358,0.44499035948785454,1024-512,0.00013165993303494795,5.58753586271175e-06,0.7433298072509934,1.176969289779663,"{""alpha"": 0.9078338936858532, ""beta"": 0.3320386109158358, ""dropout"": 0.44499035948785454, ""hidden"": ""1024-512"", ""lr"": 0.00013165993303494795, ""wd"": 5.58753586271175e-06}",COMPLETE
31,0.8737564619337733,2026-09-15 04:40:43.983285,2026-09-15 04:41:15.014202,0 days 00:00:31.030917,0.8487554920188107,0.2424018178999719,0.4371778268574438,1024-512,0.00014908804261894374,3.774478669555677e-06,0.746064031027432,1.1436972618103027,"{""alpha"": 0.8487554920188107, ""beta"": 0.2424018178999719, ""dropout"": 0.4371778268574438, ""hidden"": ""1024-512"", ""lr"": 0.00014908804261894374, ""wd"": 3.774478669555677e-06}",COMPLETE
32,0.8663881777091155,2026-09-15 04:41:15.014241,2026-09-15 04:41:45.798776,0 days 00:00:30.784535,0.6220498739560523,0.4353035959143153,0.44819243736706377,1024-512,0.00014994031123966633,3.741805690437115e-06,0.7517793927006868,1.3996953964233398,"{""alpha"": 0.6220498739560523, ""beta"": 0.4353035959143153, ""dropout"": 0.44819243736706377, ""hidden"": ""1024-512"", ""lr"": 0.00014994031123966633, ""wd"": 3.741805690437115e-06}",COMPLETE
33,0.8669737745221132,2026-09-15 04:41:45.798823,2026-09-15 04:42:01.045607,0 days 00:00:15.246784,0.8183616163859803,0.05817638210536988,0.3659896845653645,1024-512,0.0001070509437951419,8.106866955118205e-05,0.7387974274630932,1.188713550567627,"{""alpha"": 0.8183616163859803, ""beta"": 0.05817638210536988, ""dropout"": 0.3659896845653645, ""hidden"": ""1024-512"", ""lr"": 0.0001070509437951419, ""wd"": 8.106866955118205e-05}",COMPLETE
34,0.8688801279768298,2026-09-15 04:42:01.045641,2026-09-15 04:42:24.933590,0 days 00:00:23.887949,0.7988693999637777,0.27060841838773064,0.4041661275967667,1024-512,0.0001464567228074894,1.3081443407871954e-05,0.7426060092892511,1.205298900604248,"{""alpha"": 0.7988693999637777, ""beta"": 0.27060841838773064, ""dropout"": 0.4041661275967667, ""hidden"": ""1024-512"", ""lr"": 0.0001464567228074894, ""wd"": 1.3081443407871954e-05}",COMPLETE
35,0.8737476711001421,2026-09-15 04:42:24.933627,2026-09-15 04:42:49.114037,0 days 00:00:24.180410,0.894549199336287,0.35336767201136526,0.44711951786377774,1024-512,0.00014692813312217957,3.3304578994520986e-05,0.7398641257243224,1.1768790483474731,"{""alpha"": 0.894549199336287, ""beta"": 0.35336767201136526, ""dropout"": 0.44711951786377774, ""hidden"": ""1024-512"", ""lr"": 0.00014692813312217957, ""wd"": 3.3304578994520986e-05}",COMPLETE
36,0.869148423121811,2026-09-15 04:42:49.114105,2026-09-15 04:43:10.014258,0 days 00:00:20.900153,0.825297561288667,0.5914254274924576,0.3270413946620532,1024-512,0.00014242537939696762,0.0003920203814078813,0.7371526500833027,1.1865214109420776,"{""alpha"": 0.825297561288667, ""beta"": 0.5914254274924576, ""dropout"": 0.3270413946620532, ""hidden"": ""1024-512"", ""lr"": 0.00014242537939696762, ""wd"": 0.0003920203814078813}",COMPLETE
37,0.8703819625494442,2026-09-15 04:43:10.014293,2026-09-15 04:43:29.921550,0 days 00:00:19.907257,0.9240285932232657,0.3980238440644688,0.3944976757930898,1024-512,0.00010520313758373121,3.3132012927304185e-06,0.7338698487743252,1.1811487674713135,"{""alpha"": 0.9240285932232657, ""beta"": 0.3980238440644688, ""dropout"": 0.3944976757930898, ""hidden"": ""1024-512"", ""lr"": 0.00010520313758373121, ""wd"": 3.3132012927304185e-06}",COMPLETE
38,0.8592818775160532,2026-09-15 04:43:29.921584,2026-09-15 04:44:03.113530,0 days 00:00:33.191946,0.9956008547873982,0.2860477465464381,0.4360796186520912,1024-512,0.00011753448722194224,0.00015047275415928663,0.7354081857767416,1.1490180492401123,"{""alpha"": 0.9956008547873982, ""beta"": 0.2860477465464381, ""dropout"": 0.4360796186520912, ""hidden"": ""1024-512"", ""lr"": 0.00011753448722194224, ""wd"": 0.00015047275415928663}",COMPLETE
39,0.8729622507971345,2026-09-15 04:44:03.113562,2026-09-15 04:44:28.050365,0 days 00:00:24.936803,0.7659048115102289,0.5037831372182351,0.4205919878255944,1024-512,0.00013912263602289284,7.1185089421977595e-06,0.7439952756818502,1.166349172592163,"{""alpha"": 0.7659048115102289, ""beta"": 0.5037831372182351, ""dropout"": 0.4205919878255944, ""hidden"": ""1024-512"", ""lr"": 0.00013912263602289284, ""wd"": 7.1185089421977595e-06}",COMPLETE
40,0.8655716213807616,2026-09-15 04:44:28.050425,2026-09-15 04:44:45.711211,0 days 00:00:17.660786,0.7363395401881416,0.3122460958673403,0.3799937051507846,1024-512,0.00011775374822801627,0.0003260300823637083,0.7409668921923297,1.2124384641647339,"{""alpha"": 0.7363395401881416, ""beta"": 0.3122460958673403, ""dropout"": 0.3799937051507846, ""hidden"": ""1024-512"", ""lr"": 0.00011775374822801627, ""wd"": 0.0003260300823637083}",COMPLETE
