,mean,sd,cv,ci_lo,ci_hi,adj,std_rank,adj_rank,med_rank
lag_1d_same_slot,2.937096154689789,0.1422637817623548,0.048436882645192275,2.6979992270469664,3.1774848103523254,2.801404837341791,1,1,1
net_demand,1.591365110874176,0.0637804764182895,0.04007909685996152,1.4778769224882127,1.7386803448200225,1.5300423935819571,2,2,2
prev_day_band_early,1.2088692218065262,0.05646573456986037,0.04670954769241155,1.114556011557579,1.3008751600980757,1.1549232778774339,3,3,3
lag_7d_same_slot,0.9492214798927308,0.05420610090532339,0.0571058515357755,0.8450669169425964,1.0381174206733703,0.8979436434995521,4,4,4
prev_day_mean,0.6517751917243004,0.12837863379814676,0.1969676591379849,0.44660920053720476,0.8874132871627807,0.544521973295157,5,6,7
pv_ratio,0.5932245925068855,0.047141452524317805,0.07946645017716564,0.5237274184823036,0.7010794207453727,0.5495535247154032,6,5,6
prev_day_band_peak,0.44780304506421087,0.08403237464502927,0.18765476378790547,0.33882361724972726,0.6285057172179221,0.37704816140002506,8,8,8
month,0.4425546370446682,0.015435510108125189,0.03487820218358088,0.4193260416388512,0.4680774264037609,0.4276393454909796,7,7,5
dayofweek,0.3407262735068798,0.01409189375381026,0.04135840071495315,0.3207185477018356,0.36678043901920315,0.3271940508406629,9,9,11
tepco_demand,0.3026663027703762,0.04272350686853112,0.14115713073266753,0.2160170815885067,0.36854920014739034,0.2652275437091232,11,10,9
prev_day_max,0.2819461070001125,0.056891823487947,0.20178261758345292,0.1868353269994259,0.4096467077732086,0.23460657765798806,10,11,10
prev_week_same_dow_mean,0.14869901910424232,0.014549458341965488,0.09784501894908867,0.12506992183625698,0.17252608574926853,0.13544627569252385,12,12,17
temperature_2m,0.1464062450453639,0.012875463368089795,0.08794340271550807,0.1284780329093337,0.17345001511275765,0.13457156381474783,13,13,14
is_dayoff,0.13251636326313018,0.017936956674858198,0.13535654188790108,0.10006285440176725,0.1610097263008356,0.11671784005646231,15,14,12
hour,0.12007082719355822,0.013092165238537375,0.1090370204365492,0.09168415609747171,0.13915410339832304,0.10826584233075903,18,15,13
shortwave_radiation,0.11708448547869921,0.014625850268036603,0.1249170648719077,0.09311934486031533,0.14377460628747937,0.10408277119703167,20,19,16
day,0.11636248603463173,0.011408937712984646,0.09804652772362671,0.095407485216856,0.13597511574625967,0.10597227266486074,19,16,23
prev_week_same_dow_min,0.11565660368651151,0.0113840954351743,0.09843013777259978,0.0986497962847352,0.13341368585824964,0.10529263510653518,17,18,21
relative_humidity_2m,0.11542827691882848,0.011068272860358833,0.09588874715804922,0.09567899834364653,0.1353162717074156,0.10532846260002833,16,17,18
prev_day_min,0.11254917532205581,0.01086198216462322,0.09650876724366936,0.09467592425644397,0.13306328654289246,0.10264320604109207,14,20,20
prev_day_std,0.09972316212952137,0.013378752343718098,0.1341589261513955,0.07797123324126005,0.12502594348043203,0.08792697375130443,22,21,19
tepco_solar,0.09882532013580203,0.026160601569784586,0.26471557626968145,0.06371697438880801,0.15608636587858196,0.07814035186258275,21,23,15
prev_week_same_dow_max,0.09415528904646635,0.012833035442849703,0.1362964903279783,0.06631932146847248,0.11469747647643089,0.08286155052656155,25,22,26
tepco_wind,0.08614274598658085,0.009697624385078516,0.11257621607034901,0.06830575987696648,0.10943631269037724,0.07742637739537477,24,24,22
prev_week_same_dow_std,0.08113658139482141,0.010262061787638358,0.1264788534496148,0.06176837375387549,0.0982602261006832,0.07202672393392646,23,25,24
precipitation,0.05775234112516046,0.009243224768483535,0.1600493519120149,0.04329279810190201,0.07707352209836245,0.049784382905754807,26,26,25
wind_speed_10m,0.03742992505431175,0.004486327673540634,0.11985938168539907,0.0321477604098618,0.04803402805700898,0.03342377236504405,27,27,27
is_weekend,0.014020017045550049,0.007587700697599967,0.5412048125867509,0.0030237786297220735,0.029623204097151752,0.009096790336398522,28,28,28
minute,0.004500653984723613,0.006114737898065641,1.3586331939359586,0.0017415673792129382,0.008070982689969192,0.0019081618949037035,30,30,30
is_holiday,0.0029225165897514673,0.0008186843600939772,0.2801299273937051,0.0019503198389429599,0.004698031628504394,0.0022829843496445694,29,29,29
