cls,y,cond1,control1,lift1,cond2,control2,lift2,other1,same1,cond_n,ctrl_n
1,1,0.1806,0.1363,0.0443,0.0089,0.0050,0.0038,0.1860,0.1713,3344199,6980901
1,2,0.3710,0.3930,-0.0220,0.1001,0.1033,-0.0032,0.4498,0.3012,3344199,6980901
1,3,0.4720,0.4663,0.0057,0.1131,0.1033,0.0098,0.5945,0.3677,3344199,6980901
1,4,0.4407,0.5020,-0.0614,0.0837,0.0899,-0.0061,0.5339,0.3579,3344199,6980901
1,5,0.4441,0.4591,-0.0150,0.0930,0.0901,0.0029,0.4925,0.4130,3344199,6980901
1,6,0.4109,0.4988,-0.0878,0.0839,0.0975,-0.0135,0.5171,0.3231,3344199,6980901
1,7,0.4078,0.4271,-0.0193,0.0796,0.0789,0.0007,0.5148,0.3176,3344199,6980901
1,8,0.3196,0.3537,-0.0341,0.0711,0.0731,-0.0020,0.4093,0.2443,3344199,6980901
1,9,0.2010,0.1664,0.0345,0.0593,0.0361,0.0232,0.2336,0.1697,3344199,6980901
2,1,0.2734,0.1786,0.0948,0.0965,0.0492,0.0473,0.2667,0.2818,2003721,4130306
2,2,0.2060,0.1455,0.0605,0.0103,0.0039,0.0065,0.2112,0.1987,2003721,4130306
2,3,0.3220,0.2348,0.0872,0.0811,0.0527,0.0285,0.3438,0.2991,2003721,4130306
2,4,0.4402,0.4610,-0.0208,0.1136,0.1136,0.0000,0.5477,0.3188,2003721,4130306
2,5,0.4280,0.5602,-0.1322,0.0859,0.1141,-0.0282,0.5397,0.2967,2003721,4130306
2,6,0.3887,0.4992,-0.1105,0.0852,0.1107,-0.0255,0.5024,0.2583,2003721,4130306
2,7,0.4070,0.4242,-0.0171,0.0837,0.0896,-0.0059,0.4852,0.3169,2003721,4130306
2,8,0.3260,0.3348,-0.0088,0.0725,0.0722,0.0003,0.3739,0.2692,2003721,4130306
2,9,0.2135,0.1717,0.0418,0.0640,0.0431,0.0209,0.2287,0.1940,2003721,4130306
