a,b,y,cond,control,lift,ctrl_none,ctrl_adjacent,cond_n,ctrl_n
1,2,1,0.0440,0.2667,-0.2227,0.2818,0.0596,633586,5500441
1,2,2,0.1385,0.1920,-0.0535,0.1977,0.1144,633586,5500441
1,2,3,0.1957,0.3232,-0.1275,0.3308,0.2205,633586,5500441
1,2,4,0.6247,0.3975,0.2272,0.3940,0.4476,633586,5500441
1,2,5,0.4822,0.4911,-0.0089,0.4867,0.5522,633586,5500441
1,2,6,0.4330,0.4359,-0.0029,0.4330,0.4767,633586,5500441
1,2,7,0.4201,0.4161,0.0040,0.4145,0.4368,633586,5500441
1,2,8,0.3339,0.3334,0.0004,0.3329,0.3410,633586,5500441
1,2,9,0.1752,0.2015,-0.0263,0.2030,0.1818,633586,5500441
2,4,1,0.0834,0.1132,-0.0298,0.1151,0.0784,238746,2844880
2,4,2,0.0722,0.3002,-0.2280,0.3121,0.0718,238746,2844880
2,4,3,0.1439,0.3359,-0.1920,0.3455,0.1534,238746,2844880
2,4,4,0.2700,0.3059,-0.0359,0.3094,0.2401,238746,2844880
2,4,5,0.4731,0.2968,0.1763,0.2956,0.3178,238746,2844880
2,4,6,0.4124,0.3981,0.0143,0.3959,0.4411,238746,2844880
2,4,7,0.4272,0.4399,-0.0127,0.4384,0.4666,238746,2844880
2,4,8,0.3437,0.3390,0.0047,0.3379,0.3591,238746,2844880
2,4,9,0.2012,0.1974,0.0038,0.1969,0.2056,238746,2844880
3,5,1,0.1618,0.2165,-0.0548,0.2180,0.1699,138030,2715058
3,5,2,0.1782,0.3105,-0.1323,0.3140,0.1997,138030,2715058
3,5,3,0.1863,0.4034,-0.2171,0.4103,0.1938,138030,2715058
3,5,4,0.1748,0.3434,-0.1686,0.3482,0.1968,138030,2715058
3,5,5,0.3170,0.3332,-0.0161,0.3344,0.2955,138030,2715058
3,5,6,0.4569,0.3098,0.1471,0.3081,0.3642,138030,2715058
3,5,7,0.3975,0.3749,0.0226,0.3730,0.4329,138030,2715058
3,5,8,0.2841,0.2992,-0.0151,0.2987,0.3132,138030,2715058
3,5,9,0.2102,0.2121,-0.0019,0.2122,0.2097,138030,2715058
4,6,1,0.1350,0.1999,-0.0649,0.2022,0.1168,114200,2969426
4,6,2,0.1923,0.3493,-0.1570,0.3531,0.2108,114200,2969426
4,6,3,0.2075,0.4524,-0.2449,0.4585,0.2296,114200,2969426
4,6,4,0.1836,0.4282,-0.2446,0.4348,0.1904,114200,2969426
4,6,5,0.1856,0.3498,-0.1641,0.3535,0.2141,114200,2969426
4,6,6,0.2778,0.3036,-0.0257,0.3045,0.2681,114200,2969426
4,6,7,0.4789,0.2997,0.1793,0.2980,0.3611,114200,2969426
4,6,8,0.3037,0.2600,0.0436,0.2584,0.3188,114200,2969426
4,6,9,0.1644,0.1042,0.0601,0.1033,0.1369,114200,2969426
