model,split,min_rating,fit_seconds,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,sampled99_hr@10,sampled99_ndcg@10,n_eval_users,params
random,valid,,0.0,0.0043046357615894,0.0023174929356653,0.0069536423841059,0.0029686836285623,0.0276490066225165,0.006557619519847,0.0032936193491012,0.1021523178807947,0.0460041261609581,6040,"{""seed"": 42}"
random,test,,0.0,0.0031456953642384,0.0012565802174651,0.0067880794701986,0.0021575285585756,0.0301324503311258,0.0062174271939948,0.002410635184722,0.0990066225165562,0.0458611421159408,6040,"{""seed"": 42}"
most_popular,valid,,0.0,0.041887417218543,0.0205183409243433,0.0700331125827814,0.0275518185422525,0.2172185430463576,0.0535718522484362,0.0212082425516615,0.4592715231788079,0.2503714607275221,6040,{}
most_popular,test,,0.0,0.0352649006622516,0.0173967683679641,0.0640728476821192,0.0245998338205259,0.21341059602649,0.0510049929670261,0.0191571692476027,0.4433774834437086,0.23989261022556,6040,{}
random,valid,3.0,0.0,0.0024842663133487,0.0009998551505413,0.0054653858893673,0.0017530692009871,0.0294799602517389,0.0059278422844117,0.0022530324644291,0.0990394170255051,0.0448917994386395,6038,"{""seed"": 42}"
random,test,3.0,0.0,0.0034779728386883,0.0013953509842952,0.0061278569062603,0.0020443080499644,0.0274925472010599,0.0057414744072499,0.0024300555737195,0.1063265982113282,0.0473579360711097,6038,"{""seed"": 42}"
most_popular,valid,3.0,0.0,0.0437230871149387,0.0213425941682984,0.0750248426631334,0.0291623897313956,0.2303742961245445,0.0564685490589237,0.0220371983009351,0.4690294799602517,0.2565392395390475,6038,{}
most_popular,test,3.0,0.0,0.0337860218615435,0.0168292326047722,0.0639284531301755,0.0244357991149607,0.2176217290493541,0.0516289762450019,0.0190806965413293,0.4405432262338523,0.2397905073408453,6038,{}
item_knn,valid,3.0,0.65,0.0594567737661477,0.0297393090541105,0.0998675057966214,0.0398512156809777,0.3161642928121894,0.0780487278869812,0.0303111694728313,0.6109638953295793,0.3423654903632019,6038,"{""alpha"": 0.5, ""shrink"": 0.0, ""top_k"": 100}"
item_knn,test,3.0,0.63,0.0582974494865849,0.0306616644260873,0.0895992050347797,0.0385082178801114,0.2818814176879761,0.0723043719956893,0.0305812347000931,0.576018549188473,0.3156887613912492,6038,"{""alpha"": 0.5, ""shrink"": 0.0, ""top_k"": 100}"
user_knn,valid,3.0,1.59,0.0856243789334216,0.0413223097028651,0.1422656508777741,0.0555530574909923,0.4027823782709506,0.1019172479825434,0.0397697423280525,0.671745611129513,0.4031233274117473,6038,"{""alpha"": 0.5, ""shrink"": 0.0, ""top_k"": 100}"
user_knn,test,3.0,1.39,0.0758529314342497,0.0376327183837579,0.1276912885061278,0.0507408294715732,0.3645246770453793,0.0930452534128702,0.0371181489830859,0.6377939715137463,0.3754399530485398,6038,"{""alpha"": 0.5, ""shrink"": 0.0, ""top_k"": 100}"
item_knn,valid,3.0,,0.0745279894004637,0.0358087119599126,0.1250414044385558,0.0485010211739338,0.3521033454786353,0.0890862427616921,0.034023635454183,0.5072871811858232,0.3240768619041621,6038,"{""alpha"": 0.5, ""shrink"": 0, ""top_k"": 10}"
item_knn,test,3.0,,0.0654190129181848,0.0328949284261222,0.1136137793971513,0.0449860037891549,0.3234514739980126,0.0825134054090416,0.0324859436007493,0.4778072209340841,0.3014727732189522,6038,"{""alpha"": 0.5, ""shrink"": 0, ""top_k"": 10}"
