model,n_items,n_users,n_interactions,fit_seconds,score_seconds,score_us_per_user,model_mb,sparse_model_mb,hr@10,ndcg@10,params
most_popular,375,6037,441499,0.0005,0.0007,0.1,0.001,0.001,0.0658,0.0326,{}
item_knn,375,6037,441499,0.0559,0.0145,2.4,0.536,0.286,0.1004,0.049,"{""alpha"": 0.5, ""shrink"": 0.0, ""top_k"": 100}"
ease,375,6037,441499,0.0641,0.0187,3.1,0.536,0.536,0.2355,0.1174,"{""regularization"": 250.0}"
als,375,6037,441499,4.005,0.0047,0.8,3.131,3.131,0.2279,0.1121,"{""alpha"": 1.0, ""factors"": 64, ""iterations"": 15, ""regularization"": 0.1}"
most_popular,750,6040,649580,0.0004,0.0012,0.2,0.003,0.003,0.0495,0.025,{}
item_knn,750,6040,649580,0.1231,0.0404,6.7,2.146,0.572,0.0791,0.0412,"{""alpha"": 0.5, ""shrink"": 0.0, ""top_k"": 100}"
ease,750,6040,649580,0.1292,0.0547,9.1,2.146,2.146,0.1659,0.0811,"{""regularization"": 250.0}"
als,750,6040,649580,4.9769,0.0158,2.6,3.315,3.315,0.1517,0.0743,"{""alpha"": 1.0, ""factors"": 64, ""iterations"": 15, ""regularization"": 0.1}"
most_popular,1500,6040,863910,0.0005,0.0022,0.4,0.006,0.006,0.0391,0.0197,{}
item_knn,1500,6040,863910,0.263,0.1402,23.2,8.583,1.144,0.0666,0.0354,"{""alpha"": 0.5, ""shrink"": 0.0, ""top_k"": 100}"
ease,1500,6040,863910,0.2862,0.1279,21.2,8.583,8.583,0.1164,0.0573,"{""regularization"": 250.0}"
als,1500,6040,863910,5.9852,0.0237,3.9,3.682,3.682,0.1053,0.0526,"{""alpha"": 1.0, ""factors"": 64, ""iterations"": 15, ""regularization"": 0.1}"
most_popular,3000,6040,988581,0.0006,0.0091,1.5,0.011,0.011,0.0358,0.0177,{}
item_knn,3000,6040,988581,0.6521,0.4056,67.2,34.332,2.289,0.0624,0.0339,"{""alpha"": 0.5, ""shrink"": 0.0, ""top_k"": 100}"
ease,3000,6040,988581,1.4899,0.4197,69.5,34.332,34.332,0.1003,0.0492,"{""regularization"": 250.0}"
als,3000,6040,988581,7.0386,0.0526,8.7,4.414,4.414,0.0889,0.0447,"{""alpha"": 1.0, ""factors"": 64, ""iterations"": 15, ""regularization"": 0.1}"
