alpha,factors,regularization,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,seconds
0.5,128,0.01,0.09903941702550513,0.047562534220085446,0.15998675057966213,0.0629077375980658,0.4249751573368665,0.11056516413765108,0.0443158847819844,110.37
0.5,128,0.1,0.09903941702550513,0.047521599716833646,0.1611460748592249,0.06312212595943167,0.42547201059953627,0.1105956715681552,0.04426212999899101,128.41
0.5,128,1.0,0.09887379927128188,0.04748419066651153,0.1611460748592249,0.06311186742063166,0.4271281881417688,0.11089097786444321,0.044293005525553555,115.07
0.1,128,1.0,0.09821132825438887,0.04736120264730245,0.15948989731699237,0.06272852494331088,0.4196753892017224,0.10929594474726077,0.04398974306737314,121.48
0.1,128,0.01,0.09771447499171912,0.04723131709055712,0.15816495528320637,0.062409280742494126,0.4158661808545876,0.10862123616814379,0.04391379044657889,35287.72
0.1,128,0.1,0.09754885723749586,0.04718204076618443,0.1579993375289831,0.06237441233703395,0.4158661808545876,0.10862539547544792,0.043917159394905834,140.5
1.0,128,0.01,0.09754885723749586,0.04650003877055688,0.16131169261344816,0.06252551517838383,0.4340841338191454,0.11156692838059117,0.04359528299868299,112.37
0.5,64,1.0,0.09870818151705862,0.04649176594317407,0.16478966545213647,0.06298821498031448,0.4523020867837032,0.11455423785277687,0.04376716392612982,6.94
0.5,64,0.1,0.09804571050016561,0.046476577650685996,0.1636303411725737,0.06289259774680622,0.4513083802583637,0.11455361316110325,0.043971526333615764,6.96
0.5,64,0.01,0.09804571050016561,0.04640944250174088,0.1639615766810202,0.0628990797349439,0.45081152699569393,0.11440870480353345,0.043883037110422476,6.92
0.1,64,0.01,0.09721762172904935,0.046214610964213906,0.16197416363034117,0.062387221304718264,0.4418681682676383,0.11275134891153427,0.043730294065818895,12.98
0.1,64,0.1,0.0970520039748261,0.046150749411245195,0.16263663464723419,0.0625219897329338,0.4418681682676383,0.1127337726106347,0.043712640951233644,15.21
1.0,128,0.1,0.0967207684663796,0.04611535655245452,0.1598211328254389,0.062029713136007456,0.43507784034448493,0.11158354960725238,0.043415514085711135,146.29
1.0,128,1.0,0.09622391520370983,0.04607972858967495,0.15998675057966213,0.06216048386691391,0.43507784034448493,0.11171696656957075,0.043588291586717294,106.26
1.0,64,0.1,0.09788009274594237,0.046017387264202465,0.1639615766810202,0.0626582228653069,0.4544551175886055,0.11487307500816386,0.04365832561182175,7.01
0.1,64,1.0,0.0967207684663796,0.046009668991817236,0.16197416363034117,0.06232677062926769,0.4433587280556476,0.11293302774353842,0.043670466081130746,12.99
1.0,64,1.0,0.09754885723749586,0.04587668732796323,0.1632991056641272,0.06245383512009395,0.45528320635972175,0.11495160328211422,0.0435851092048333,6.87
1.0,64,0.01,0.09721762172904935,0.0458763296983992,0.1636303411725737,0.06262086633720694,0.453461411063266,0.11476611987189746,0.04370879756957731,6.92
