alpha,factors,regularization,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,seconds
0.1,128,1.0,0.09751655629139074,0.04745408368454749,0.16341059602649008,0.06394591047377608,0.4380794701986755,0.11341499418068818,0.0450319561896731,145.81
0.5,128,0.01,0.1,0.04734298053207372,0.16357615894039734,0.0632487211953488,0.4445364238410596,0.11393414868945084,0.044314427275495144,187.32
0.5,128,0.001,0.1,0.04728200198590483,0.16341059602649008,0.06314842676886803,0.44437086092715233,0.1138461802302702,0.044229021747276116,162.45
0.1,128,0.1,0.09718543046357615,0.04718149050736875,0.16407284768211922,0.06390520161537075,0.4372516556291391,0.11305465205574622,0.04474879798499069,138.93
0.1,128,0.001,0.09718543046357615,0.04716459315781115,0.16440397350993377,0.06395674982204635,0.4370860927152318,0.11300967721405467,0.04472144335249867,113.05
0.1,128,0.01,0.09701986754966888,0.047138411854376304,0.16456953642384106,0.06401732725649159,0.4372516556291391,0.11305678783644255,0.044749857849181215,119.89
0.5,128,0.1,0.09917218543046358,0.04713106217531364,0.16357615894039734,0.06326598660241446,0.44420529801324504,0.11390626523435085,0.04434113640070948,111.75
0.5,128,1.0,0.09834437086092715,0.04689492998035411,0.16357615894039734,0.06325909159767892,0.44387417218543046,0.11386195398559501,0.04435764858386409,147.64
1.0,256,1.0,0.09701986754966888,0.04633591832364703,0.16158940397350993,0.0625815101557536,0.39983443708609273,0.1054370875930765,0.042906062655463345,502.26
1.0,256,0.01,0.09652317880794702,0.04616748908068427,0.1587748344370861,0.061883041543632354,0.39602649006622515,0.10466775263055447,0.04277464452965703,504.5
1.0,256,0.001,0.09652317880794702,0.0461548414349972,0.15894039735099338,0.06190943768835431,0.39586092715231785,0.10461932096013793,0.04275272724391937,545.82
1.0,256,0.1,0.09652317880794702,0.04614151928764405,0.16043046357615895,0.0622345848515125,0.3963576158940397,0.10472638901456333,0.04276681455133546,514.29
1.0,128,1.0,0.09701986754966888,0.04589544620523289,0.16208609271523178,0.06220821857033119,0.44900662251655626,0.11408477822622276,0.04370619252308674,169.21
0.5,256,1.0,0.09552980132450331,0.04569470077329635,0.1564569536423841,0.06103657304128069,0.3980132450331126,0.1044903686167212,0.0422436449465116,382.97
0.5,256,0.01,0.09552980132450331,0.04563618651878282,0.1566225165562914,0.06096736560780048,0.3937086092715232,0.10358840783745431,0.04202098642754232,295.02
0.5,256,0.001,0.09552980132450331,0.04563239945689959,0.1566225165562914,0.060968716715209786,0.3937086092715232,0.1035864280859492,0.04201838012270897,299.35
1.0,128,0.001,0.09685430463576158,0.04559976416373954,0.16158940397350993,0.061821769725380275,0.44735099337748346,0.11354928956138394,0.04334193488350695,218.92
1.0,128,0.1,0.09652317880794702,0.045590403264482375,0.16175496688741722,0.06195430043750524,0.4480132450331126,0.11374527526839935,0.043464104219370116,213.64
0.5,256,0.1,0.09536423841059603,0.045588522751774344,0.15695364238410597,0.06105154885146863,0.39437086092715234,0.10371954670652409,0.042035232817759484,319.68
1.0,128,0.01,0.09652317880794702,0.04551187000744942,0.16192052980132451,0.061902094524644034,0.44735099337748346,0.11355190331154538,0.0433455632082307,286.27
0.1,256,1.0,0.09337748344370861,0.04489411305673723,0.15132450331125827,0.059516414375928986,0.3935430463576159,0.10307598272881292,0.04157084823718305,320.73
0.1,256,0.01,0.09321192052980132,0.04460619301010688,0.15082781456953642,0.05910701602760549,0.38973509933774836,0.1020121481641529,0.04108414343830234,311.18
0.1,256,0.001,0.09321192052980132,0.04460490629382348,0.15082781456953642,0.05910604840479938,0.38973509933774836,0.10201003104938712,0.04108218871532052,293.25
0.1,256,0.1,0.09304635761589404,0.04458323893266762,0.15082781456953642,0.059130239717224004,0.38990066225165565,0.10206833995837372,0.04112020232744573,305.17
