alpha,shrink,top_k,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,seconds
0.25,100,10,0.07055316329910566,0.036503201378687775,0.1156011924478304,0.047805156904118656,0.32875124213315665,0.08571056286893046,0.03544857472486281,0.98
0.5,0,5,0.07369990062934746,0.03644894795986592,0.12586949320967208,0.04947704050547764,0.31616429281218944,0.08414433205506074,0.034352475604948744,1.05
0.5,0,10,0.07452798940046373,0.03580871195991263,0.12504140443855583,0.048501021173933866,0.3521033454786353,0.08908624276169212,0.03402363545418307,0.99
0.25,100,5,0.07088439880755217,0.035674484720967514,0.11411063265982113,0.04653247069154797,0.30092745942365023,0.08010598753701273,0.0333712093332665,1.13
0.5,10,5,0.07220934084133819,0.03551593570899801,0.1265319642265651,0.04910672669020236,0.3145081152699569,0.0832757372224028,0.03361349216050092,0.98
0.5,100,5,0.07204372308711494,0.03539533899505079,0.12073534282875124,0.04759390840477778,0.3067240808214641,0.08134045390572547,0.032921674625268085,1.07
0.25,10,5,0.06856575024842664,0.03537482648041464,0.10980457105001656,0.04565647268261209,0.275256707519046,0.07543322702474775,0.03303395392751308,0.96
0.5,10,10,0.07419675389201723,0.03535385437500904,0.12404769791321629,0.04787392785722316,0.351275256707519,0.08849568941364326,0.033438240438354604,1.03
0.5,10,3,0.06989069228221265,0.0350591317617507,0.11543557469360716,0.04637944530631101,0.2684663795958927,0.07446031413957505,0.032054923356882675,1.04
0.25,10,10,0.06856575024842664,0.03485992169315455,0.10997018880423981,0.04526406282401835,0.303411725736999,0.07988491563136095,0.033396186290531045,1.05
0.5,0,3,0.0700563100364359,0.034821102149041556,0.11709175223583969,0.046551176693618766,0.2679695263332229,0.07428169820063328,0.03183802296246191,0.98
0.25,100,20,0.07055316329910566,0.03465486111043876,0.11576681020205366,0.04597357403303993,0.32957933090427294,0.08416706224615536,0.03350142634628275,1.05
0.25,500,10,0.0700563100364359,0.03440565500116659,0.1187479297780722,0.04650821283853205,0.334216628022524,0.08490688702823736,0.032895360617759745,1.04
0.25,500,5,0.0697250745279894,0.034281474409426485,0.11228883736336535,0.044992523419055144,0.3039085789996688,0.07965172846057238,0.031821813510705815,0.98
0.5,100,3,0.06806889698575687,0.03362190800126114,0.1121232196091421,0.04461975057596405,0.2547201059953627,0.07095609126195128,0.030484745771378486,0.97
0.25,100,3,0.0665783371977476,0.03358914270230177,0.10698906922822127,0.04372983292109028,0.26300099370652535,0.07216196842874514,0.03106357070462384,0.98
0.5,100,10,0.0697250745279894,0.03350325818387576,0.11858231202384896,0.04577101403270826,0.34100695594567737,0.08545004406622139,0.03199597560285927,1.01
0.25,10,20,0.06873136800264988,0.033118363162531375,0.11427625041404439,0.04455099688487884,0.31417687976151043,0.08029343580845501,0.031938436724214515,0.98
0.25,0,10,0.06541901291818483,0.03306711940033608,0.10599536270288175,0.04319288778098765,0.2805564756541901,0.07435665073122091,0.031411204799453606,0.99
0.5,0,20,0.06840013249420338,0.03299267984671949,0.11543557469360716,0.04475609038385572,0.349950314673733,0.08680477993723076,0.032672585909818516,1.07
0.25,100,50,0.06740642596886386,0.03268747013677539,0.1156011924478304,0.04476818182108939,0.3297449486584962,0.08295268338678902,0.03233529005850271,0.96
0.5,10,20,0.06707519046041735,0.032685836789305825,0.11344816164292812,0.044290469209218974,0.34912222590261677,0.08655975846931319,0.03265749566090753,1.0
