alpha,shrink,top_k,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,seconds
0.25,100,50,0.08496190791652865,0.041773104029284844,0.14342497515733688,0.056400905587002885,0.4012918184829414,0.10242270703478819,0.04048626656286974,2.76
0.0,500,20,0.08512752567075191,0.041622008979094564,0.1391189135475323,0.055151977196155694,0.38390195428949986,0.09884874066087042,0.0397563856003412,2.84
0.0,500,50,0.08347134812851938,0.04144621820621766,0.13829082477641602,0.05521778744146754,0.380755216959258,0.09841973627487798,0.04001208861483478,2.86
0.5,0,100,0.08562437893342166,0.04132230970286519,0.1422656508777741,0.05555305749099236,0.40278237827095065,0.10191724798254348,0.03976974232805254,2.74
0.5,0,50,0.08347134812851938,0.04124060819800955,0.1457436237164624,0.05685336023717022,0.40526664458429945,0.10320873065828193,0.04057948011594812,3.04
0.5,10,100,0.08380258363696588,0.04089226044975932,0.14176879761510433,0.05538925339394469,0.39267969526333224,0.10016031454765054,0.03961889890676649,2.88
0.5,100,50,0.08065584630672408,0.04087194592895949,0.1338191454123882,0.0542400786793154,0.35756873136800266,0.0942179719690036,0.03977926321737408,2.88
0.25,100,20,0.0844650546538589,0.040798620654072235,0.14640609473335542,0.05643378701874243,0.3959920503477973,0.10094652912362514,0.03957379429956242,2.71
0.75,0,50,0.08015899304405433,0.040640795372786934,0.13365352765816496,0.0540500900959313,0.3655183835707188,0.09548548723706071,0.03968671102101186,2.82
0.5,10,50,0.0844650546538589,0.0402419031075799,0.14458429943689963,0.05533097656757632,0.4037760847962902,0.10166840494442048,0.03899024910577745,2.83
0.0,100,50,0.08380258363696588,0.04022168616489023,0.14524677045379264,0.05567684374952137,0.40344484928784363,0.1019210278958655,0.03920828877259272,3.01
0.25,100,100,0.08297449486584962,0.04014461952874038,0.13795958926796953,0.05397260789202917,0.38870486916197416,0.09865297652683065,0.038635322438661454,2.83
0.0,100,100,0.0819807883405101,0.03995071265890596,0.1432593574031136,0.05529122144336142,0.39963564094070886,0.10099117673690684,0.039253905570794875,2.9
0.5,10,20,0.08496190791652865,0.03982408050822586,0.14624047697913217,0.05521012657742015,0.39118913547532297,0.09920348279023128,0.03805196628215358,2.76
0.25,10,50,0.08065584630672408,0.03981504377495404,0.14110632659821132,0.05500181215617793,0.3969857568731368,0.10075881651893313,0.039423136571980606,3.1
0.0,100,20,0.08363696588274264,0.03976553499623204,0.1478966545213647,0.05585570899417102,0.39582643259357403,0.10027332938445793,0.03844854144001563,2.82
0.0,500,100,0.07899966876449155,0.03971465486041894,0.13232858562437894,0.05309812674855093,0.36883073865518384,0.09526797286675263,0.03880863826367688,2.75
0.25,100,10,0.08297449486584962,0.039540215804243266,0.1397813845644253,0.05381467704786877,0.377442861874793,0.09637510745355773,0.03766506225567744,3.38
0.75,10,50,0.07717787346803577,0.039469562078278383,0.1303411725736999,0.05281188477090819,0.35028155018217955,0.09209210733347298,0.03874130651752494,2.92
0.5,100,100,0.07668102020536602,0.039275687326925074,0.12802252401457437,0.05210155462569806,0.35226896323285856,0.09203011304823025,0.03846797116042973,2.96
0.0,100,200,0.07933090427293805,0.03912236908092094,0.13365352765816496,0.05273984783807943,0.3829082477641603,0.09732033469133014,0.03848847398694647,2.93
0.5,0,20,0.08314011262007287,0.039113430720430845,0.1475654190129182,0.05531891747086477,0.38986419344153694,0.0986673765346238,0.03772904559416498,2.85
0.5,10,200,0.0788340510102683,0.03905943999572601,0.1328254388870487,0.05256985098855085,0.37976151043391854,0.09657027995576783,0.03818707727437156,2.89
0.25,100,200,0.07916528651871481,0.03893671194195,0.12885061278569063,0.05141901105858818,0.37081815170586285,0.09463768033694124,0.03768539314728045,2.77
0.5,0,200,0.07916528651871481,0.03889386018821902,0.13332229214971844,0.05249765498284797,0.3883736336535277,0.0979811861935815,0.038192401516497186,2.95
0.5,10,10,0.08429943689963564,0.03875167543413926,0.13994700231864857,0.052737601678509084,0.37545544882411397,0.09505646184776839,0.036188756674010995,3.01
0.75,0,100,0.07717787346803577,0.03861018331818796,0.1303411725736999,0.051908568173964,0.34928784365684,0.09109736232338886,0.03754355587202036,2.82
0.25,500,50,0.07767472673070554,0.038569796403676554,0.12636634647234182,0.050785113608274916,0.34630672408082147,0.09010033182970091,0.03720333489453994,2.9
0.25,10,100,0.08015899304405433,0.03852738880843095,0.13746273600529976,0.052944698795871124,0.40311361377939714,0.1004650682119465,0.038029764168794576,2.8
0.25,10,20,0.07949652202716131,0.038343201270230935,0.1412719443524346,0.05392922310390858,0.37810533289168596,0.09645863386830322,0.03729361248803166,2.85
0.0,100,10,0.08264325935740312,0.03823249847951341,0.13928453130175555,0.05241390329565331,0.3771116263663465,0.09511677863056343,0.03590026724050449,2.76
0.5,0,10,0.08131831732361709,0.03800550159238919,0.13547532295462072,0.051612735789176814,0.36104670420669094,0.09206877336313973,0.03562732028799326,3.08
0.75,10,100,0.07436237164624047,0.03799129218905714,0.12553825770122556,0.050787029391995024,0.3367008943358728,0.08859396967580038,0.037321026032689435,3.0
0.25,10,200,0.07767472673070554,0.037810383281214166,0.13348790990394171,0.05175855484544554,0.3908578999668765,0.09763082851407091,0.037504913030599725,2.9
0.25,0,100,0.07668102020536602,0.03779808140008814,0.13431599867505797,0.0521220366576422,0.39400463729711827,0.0986672450272898,0.03786577303634447,2.84
0.25,0,50,0.07651540245114276,0.03767629094425015,0.13398476316661145,0.0521249751563703,0.3916859887379927,0.09821922073034021,0.03758452373658655,2.69
0.5,100,20,0.07784034448492878,0.03754431519619236,0.1331566743954952,0.05147443134411775,0.3686651209009606,0.09352605566669961,0.03653455795871783,2.89
0.0,500,200,0.07436237164624047,0.037403667813343325,0.12371646240476979,0.04977841147926905,0.3476316661146075,0.08975108125757421,0.03665940581623332,2.91
0.75,0,200,0.07303742961245445,0.037292522510963516,0.12371646240476979,0.04998103961871942,0.3363696588274263,0.08789467946329896,0.03668225504425932,2.82
0.0,500,10,0.08065584630672408,0.03728407397513939,0.13646902947996026,0.051268486692353364,0.3759523020867837,0.09384961570910771,0.03524671749213889,2.81
0.75,0,20,0.08098708181517059,0.037281342558531716,0.13448161642928122,0.05073161921215789,0.3699900629347466,0.09277952875147107,0.03517667016826589,2.88
0.25,500,100,0.07270619410400794,0.037185007660259395,0.12172904935409076,0.049486771931553354,0.33487909903941704,0.08753396913918779,0.036681549168059074,3.2
0.25,0,20,0.07618416694269625,0.037098926324803404,0.13083802583636966,0.05079717097259747,0.3555813183173236,0.09111167825044413,0.03568449719498355,2.88
0.0,10,100,0.07469360715468698,0.036989963903313855,0.12984431931103013,0.05075455545501493,0.39019542894998344,0.09728565672551304,0.037110638478568346,2.8
0.25,0,200,0.07535607817158,0.03686271102262528,0.12802252401457437,0.05006006245302468,0.3888704869161974,0.09670130416105521,0.036930686688419936,2.91
0.0,10,50,0.07485922490891024,0.03684501373905158,0.13232858562437894,0.051258984908259655,0.38390195428949986,0.09616108548825825,0.03659269155170379,2.89
0.5,100,200,0.07187810533289168,0.036649221805635214,0.11891354753229547,0.04846732728727077,0.3332229214971845,0.08674577108594457,0.036069710764822654,2.83
0.25,10,10,0.07800596223915204,0.03659939297688975,0.12967870155680689,0.04950797342930091,0.34051010268300763,0.08739779188188843,0.03390101294102539,2.7
0.0,10,200,0.07386551838357072,0.03628701897627922,0.12586949320967208,0.0492987371676525,0.38771116263663463,0.09606401281332873,0.036522043578986925,2.86
0.0,10,20,0.07502484266313349,0.03608077293418469,0.12355084465054654,0.0483605858648175,0.33570718781053327,0.08669838097343437,0.03403934634169402,2.8
0.75,10,200,0.06989069228221265,0.036005096532748616,0.11791984100695595,0.04801907182106245,0.32593574031136135,0.0851807536837182,0.03568103324343382,2.84
