alpha,shrink,top_k,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,seconds
0.25,100,20,0.0847682119205298,0.041330309773352024,0.15033112582781458,0.057830747226038655,0.39983443708609273,0.10278992501806451,0.040592708718875235,3.16
0.0,500,50,0.08493377483443709,0.04067237279915529,0.14271523178807946,0.055212259168217356,0.38675496688741723,0.09890034303977609,0.03893593917144436,3.08
0.25,100,50,0.08543046357615894,0.04052789146439225,0.14503311258278145,0.05546747197444988,0.3973509933774834,0.10084156812892743,0.03904965782031016,3.22
0.5,0,50,0.08311258278145696,0.04002072376469944,0.14486754966887416,0.055550960324472376,0.40264900662251657,0.10195088458362529,0.03936952703436959,3.21
0.0,100,50,0.08228476821192053,0.03982493208348942,0.1455298013245033,0.055622254195957024,0.40066225165562913,0.101521495663993,0.03928316390205159,3.05
0.25,100,100,0.08294701986754967,0.03967342585469515,0.14072847682119205,0.054095980387122045,0.3869205298013245,0.09816359384086078,0.03823029867728218,3.29
0.0,500,100,0.08195364238410596,0.03957622447102934,0.13708609271523178,0.05337165251327327,0.37334437086092714,0.09555052476416022,0.03789355551742789,3.33
0.0,500,20,0.08294701986754967,0.0395669595137089,0.14834437086092717,0.05599051662225389,0.39072847682119205,0.09954487002852812,0.03860692226275737,3.06
0.5,10,100,0.08327814569536424,0.0394389090503279,0.14221854304635762,0.05410213596307099,0.39089403973509934,0.09858588873154844,0.03793151004313552,3.07
0.0,100,20,0.0837748344370861,0.03943639173157285,0.15016556291390729,0.05606888658119925,0.40016556291390726,0.10095129306196603,0.03824669142305648,2.98
0.25,10,50,0.07996688741721854,0.03942461809341958,0.13940397350993378,0.054301660334694635,0.39619205298013244,0.10039498599911335,0.03912871097749059,3.26
0.0,100,10,0.08278145695364239,0.03941555876835379,0.13956953642384107,0.053683644925712995,0.37748344370860926,0.09662311501964507,0.03745437195665498,2.99
0.5,0,20,0.08443708609271523,0.039359592775273254,0.14701986754966886,0.05503606110879881,0.39536423841059604,0.09997440580905895,0.037905083741111054,3.07
0.5,10,50,0.0826158940397351,0.03917611460743928,0.147682119205298,0.05552867784285,0.4013245033112583,0.1011000331515833,0.038469317485404095,3.17
0.0,100,100,0.08096026490066226,0.039025061994390604,0.1400662251655629,0.053775435490511385,0.39503311258278145,0.09948460700610616,0.03826404913945604,3.08
0.5,10,20,0.08311258278145696,0.03899013686689504,0.1521523178807947,0.05631027261699574,0.398841059602649,0.10075616526051205,0.038126638662887555,3.16
0.25,10,10,0.08062913907284769,0.038876778812906326,0.13741721854304637,0.053102250851346684,0.3437086092715232,0.09007334681596284,0.036375620961301175,3.12
0.25,10,20,0.0804635761589404,0.03868627162482026,0.14304635761589404,0.054384691149571854,0.3834437086092715,0.09742015078043958,0.03760355291231252,3.21
0.5,100,50,0.08112582781456953,0.03856049756002186,0.1412251655629139,0.05361162231505293,0.3695364238410596,0.0942856150511702,0.036951302500647876,3.15
0.5,0,100,0.08062913907284769,0.03827410001852803,0.1435430463576159,0.053944182572630284,0.3971854304635762,0.09923586193499098,0.0374832950811707,3.15
0.25,100,10,0.0814569536423841,0.038190348450033294,0.14701986754966886,0.05462689535169663,0.38758278145695363,0.09781081214680667,0.036946062870030244,3.24
0.5,100,100,0.07781456953642384,0.038076402307852183,0.13443708609271524,0.05227586567320711,0.3574503311258278,0.09194062595279194,0.03692183808892947,3.22
0.5,0,10,0.08228476821192053,0.038041928602116144,0.14056291390728476,0.05266088381694624,0.3736754966887417,0.09477550540595119,0.03602319204954666,3.19
0.25,0,50,0.0781456953642384,0.03789848140202566,0.13543046357615893,0.05217106361766672,0.39006622516556294,0.09784201853061662,0.0373178541098697,3.49
0.25,100,200,0.07913907284768212,0.03784478690581266,0.13460264900662253,0.05168410958488419,0.36920529801324503,0.0934875086031851,0.03638876868653955,3.14
0.5,10,10,0.0836092715231788,0.03777725573118562,0.1455298013245033,0.0532282280702293,0.3880794701986755,0.09685698204565919,0.035547520185261125,3.09
0.0,100,5,0.08278145695364239,0.03755332823306785,0.1380794701986755,0.051380130065679666,0.33973509933774837,0.08769609809585632,0.03379987828797726,3.04
0.25,10,100,0.0759933774834437,0.037473988253001266,0.13443708609271524,0.05216717945305668,0.3981788079470199,0.09957616021004202,0.0379087236220902,3.33
0.5,10,200,0.07847682119205299,0.03741508937879919,0.1360927152317881,0.05179982750872773,0.3716887417218543,0.09381050216814299,0.03625020968201387,3.02
0.0,500,200,0.07665562913907285,0.03738375423767247,0.12996688741721854,0.050626425982136375,0.3509933774834437,0.08996227916361578,0.03603041516648532,3.04
0.0,100,200,0.0771523178807947,0.037357782156445044,0.13841059602649006,0.05266299483892437,0.3806291390728477,0.09581027819929108,0.036941590762514936,3.02
0.25,0,20,0.07483443708609272,0.03734635882390208,0.13493377483443708,0.052440526823465436,0.3562913907284768,0.09234670365811093,0.03684962534456469,3.27
0.0,500,10,0.08344370860927153,0.03727398693195811,0.1425496688741722,0.05207255486645064,0.38576158940397354,0.09558422458167733,0.03482379233119294,3.25
0.75,0,100,0.0759933774834437,0.037237528355979176,0.13543046357615893,0.05206980384900209,0.35049668874172185,0.0904471793955778,0.0363972531485947,3.1
0.25,500,50,0.07748344370860927,0.03702892239976424,0.13443708609271524,0.05123433641852593,0.3577814569536424,0.09100479982534314,0.03567982474232007,3.05
0.5,0,200,0.07764900662251656,0.03692296783102763,0.13675496688741723,0.05170694165834636,0.37880794701986753,0.09484295069507177,0.03606227266340007,3.18
0.75,0,50,0.07880794701986756,0.036903402359167094,0.1382450331125828,0.051784616076096815,0.3650662251655629,0.09245617521354431,0.03547343674202248,3.07
0.0,10,50,0.07483443708609272,0.0368898841937143,0.13294701986754967,0.05145298931780504,0.3849337748344371,0.09648705572928343,0.03676842020668418,3.06
0.5,100,20,0.07864238410596026,0.03671380675002119,0.14271523178807946,0.05281461826488656,0.37748344370860926,0.094969786911854,0.03585398418019216,3.08
0.0,10,20,0.07516556291390729,0.03665301791682119,0.13062913907284768,0.05061553315737531,0.34205298013245033,0.08886234974009612,0.03516447338772484,3.07
0.75,0,200,0.07417218543046358,0.036572699344290006,0.12632450331125827,0.04952078736914436,0.3334437086092715,0.0864344154888575,0.03523921719917522,3.24
0.25,500,100,0.07566225165562913,0.03656891499523017,0.12831125827814568,0.04970021744750641,0.3435430463576159,0.08789129250377221,0.03509778874317949,3.15
0.0,10,100,0.07483443708609272,0.036470317854367926,0.12880794701986756,0.04997545158117895,0.38990066225165565,0.09660501681184662,0.036333235925131775,3.26
0.25,10,200,0.075,0.03644171610948313,0.13195364238410595,0.05065598728760342,0.38576158940397354,0.09613618375069656,0.036522691762409666,3.24
0.5,100,200,0.07367549668874172,0.036424574796529455,0.1240066225165563,0.04897124690055566,0.3357615894039735,0.08670625503650937,0.03524911388036258,3.1
0.25,0,100,0.07433774834437086,0.03634901812716576,0.13062913907284768,0.05045785814477246,0.3955298013245033,0.09799807319887859,0.0367569113750234,3.18
0.75,10,100,0.073841059602649,0.03633356581813025,0.13013245033112583,0.0503627423466025,0.34172185430463575,0.08803872728707275,0.035489472385409566,3.25
0.25,0,200,0.07400662251655629,0.03602878576033521,0.12798013245033113,0.049475361156355015,0.3869205298013245,0.09585448075885676,0.03617212537277333,3.21
0.0,0,50,0.07201986754966887,0.035855587555413446,0.12036423841059603,0.04803347312264965,0.3609271523178808,0.09134910550992494,0.03537944911684696,3.1
0.75,10,50,0.07350993377483443,0.035766973142738724,0.13062913907284768,0.05010219562278878,0.35513245033112584,0.0903687408036405,0.035361791645737245,3.1
0.75,10,200,0.07201986754966887,0.03572004964260904,0.12135761589403973,0.04795236325931012,0.32384105960264903,0.08398869515134696,0.03448443583876682,3.16
0.25,0,10,0.0728476821192053,0.03548742782214297,0.1271523178807947,0.049008884730852166,0.31804635761589406,0.08332293341332629,0.033440058725484834,3.14
0.0,10,10,0.07235099337748345,0.03540827361947541,0.12135761589403973,0.047573977285267216,0.29735099337748344,0.07918664455099451,0.03244007163938003,3.05
0.0,0,100,0.07268211920529802,0.03533909015166619,0.12317880794701987,0.04792945556350836,0.376158940397351,0.09315086311090433,0.03496866734830638,3.16
0.75,0,20,0.08013245033112583,0.03512008319136284,0.13973509933774833,0.05004158521548746,0.3736754966887417,0.09177390883044441,0.03290954879400206,3.11
0.0,10,200,0.07185430463576159,0.03508850249250909,0.12764900662251655,0.049019847967055614,0.3824503311258278,0.09444432861161385,0.035511168110513996,3.16
0.25,100,5,0.08211920529801324,0.0350814941759378,0.13427152317880794,0.048098993371266434,0.3649006622516556,0.08941560382017029,0.03135051019605262,3.25
0.0,0,200,0.07185430463576159,0.035047029061437744,0.12102649006622516,0.047350717920763945,0.3783112582781457,0.0932528674873678,0.03511452274788745,3.1
0.25,500,20,0.07698675496688742,0.034888184173521346,0.13509933774834437,0.04944862183924302,0.36456953642384105,0.09047273707771833,0.03332008371876499,3.13
0.25,500,200,0.07086092715231788,0.03487105907463232,0.11788079470198676,0.04660841637041141,0.3230132450331126,0.08318037893863381,0.03378426862112963,3.19
0.0,0,20,0.07235099337748345,0.03466403625723738,0.1206953642384106,0.046730981821585145,0.2948675496688742,0.07832334021402527,0.031894789596011,2.96
0.25,10,5,0.07251655629139073,0.03379814898091974,0.12201986754966887,0.046213920919499794,0.3041390728476821,0.07870919032415913,0.03057534616259348,3.35
0.5,10,5,0.07798013245033113,0.03346932257466164,0.13112582781456952,0.046690735160549696,0.3524834437086093,0.08659679708980694,0.03051733866885595,3.16
0.75,10,20,0.07731788079470199,0.03306187992384642,0.1360927152317881,0.047841775621683014,0.3587748344370861,0.08758743555883493,0.030881253452990958,3.1
0.5,0,5,0.07367549668874172,0.03305368442784069,0.12466887417218543,0.045816429856694874,0.3400662251655629,0.0846161703759623,0.030745409054050054,3.15
0.5,100,10,0.07649006622516556,0.032025676954460514,0.13940397350993378,0.047857497395065396,0.36870860927152316,0.0888503452535483,0.030262598609279774,3.02
0.0,100,3,0.076158940397351,0.031760453320433535,0.12864238410596027,0.0448379263279836,0.3089403973509934,0.07685395736214502,0.02704971271643309,3.06
0.75,100,200,0.06274834437086092,0.03109754743936417,0.10596026490066225,0.04182965412297962,0.2935430463576159,0.07520363998588453,0.030567278603228793,3.2
0.5,500,100,0.06374172185430464,0.03090736142467521,0.10877483443708609,0.04216539940671428,0.3036423841059603,0.07697507236426031,0.03052615576962697,3.14
0.5,500,200,0.06158940397350993,0.03079799287599191,0.10562913907284768,0.041751140522419114,0.2935430463576159,0.07518349926942766,0.03060268434162409,3.05
0.75,100,100,0.06291390728476821,0.030617135280857282,0.10910596026490066,0.042195186803678036,0.3031456953642384,0.07685139009094874,0.03042700024483025,3.43
0.0,0,10,0.06175496688741722,0.030104122075857928,0.10033112582781457,0.039795755135754236,0.24403973509933774,0.06556326615551912,0.027130784346445478,3.06
0.5,500,50,0.062417218543046354,0.029972683871929143,0.10794701986754966,0.04139493992156996,0.3167218543046358,0.07880857532239799,0.03003142846719264,3.02
0.25,0,5,0.06374172185430464,0.02969673906935478,0.10562913907284768,0.04021269583026994,0.2672185430463576,0.06921599576418974,0.026619804438175444,3.2
0.75,500,200,0.0597682119205298,0.029630912589907642,0.0978476821192053,0.03909822781211203,0.27897350993377484,0.07127083396662916,0.029080682800960937,3.03
0.25,500,10,0.07533112582781457,0.029479971756707603,0.1317880794701987,0.043575644462433685,0.35960264900662253,0.08434959224600752,0.026974727977282738,3.23
0.75,100,50,0.06109271523178808,0.029228077384680005,0.1076158940397351,0.040881447319577574,0.3142384105960265,0.07783185110719931,0.029372697495027907,3.27
0.0,10,5,0.062086092715231786,0.02882797017471127,0.09950331125827815,0.03822181629022522,0.2359271523178808,0.0630619587655763,0.0250726503637192,3.02
1.0,100,200,0.05778145695364238,0.028672790426883768,0.09288079470198675,0.03744266860995263,0.2728476821192053,0.06940277356682309,0.028253157662108744,3.1
1.0,10,200,0.05778145695364238,0.02867002103555798,0.09288079470198675,0.037440870001554896,0.2728476821192053,0.06940097711170139,0.028250480969268073,3.21
1.0,500,200,0.05778145695364238,0.028666031514928955,0.09271523178807947,0.03739603123096149,0.2728476821192053,0.06939286990620593,0.028242476195441436,3.32
1.0,0,200,0.05778145695364238,0.028661079493801724,0.09288079470198675,0.03742835287765593,0.2728476821192053,0.06938717463179722,0.028237480467336776,3.13
0.75,500,100,0.05612582781456953,0.028361867551667155,0.09602649006622517,0.0383979154381895,0.2802980132450331,0.07132986669139622,0.028900509958099407,3.13
1.0,500,100,0.05413907284768212,0.027575509718178955,0.08990066225165563,0.036513183030417,0.26937086092715234,0.06860758583904178,0.028047138141452068,3.02
0.25,10,3,0.06175496688741722,0.027534183906906994,0.10132450331125828,0.037385330390518536,0.2552980132450331,0.06532903303201258,0.024228594726811555,3.78
0.75,0,10,0.06390728476821192,0.027458172115721765,0.12665562913907286,0.043098680830707524,0.35960264900662253,0.08515641223883536,0.02824099733118166,3.04
1.0,100,100,0.05364238410596026,0.027322735132119365,0.09006622516556291,0.03643161565092006,0.26920529801324505,0.06846302477367104,0.027890718390391624,3.25
1.0,0,100,0.05364238410596026,0.0273139582146508,0.08990066225165563,0.036381913450700354,0.26920529801324505,0.06845242929001126,0.0278783832105577,3.06
1.0,10,100,0.05347682119205298,0.027311849361527172,0.08990066225165563,0.03643085103610517,0.26937086092715234,0.06852728403838858,0.027939523113865276,3.13
0.0,500,5,0.07086092715231788,0.02705823531463532,0.13096026490066226,0.04216602757159166,0.36258278145695366,0.08324302035270484,0.025146588964644532,3.18
0.5,10,3,0.06407284768211921,0.02622500497328802,0.1140728476821192,0.0386347133034543,0.31440397350993377,0.07444408889349882,0.024212867935546122,3.16
0.5,0,3,0.061258278145695365,0.025956172400426157,0.10529801324503311,0.03694244359350923,0.29950331125827817,0.07164498121929398,0.023906899886495872,3.09
0.75,500,50,0.05397350993377483,0.025517657259172936,0.09288079470198675,0.03527128510393465,0.28874172185430463,0.07000698776702961,0.02583222336332032,3.19
0.75,10,10,0.058774834437086095,0.0247463565184653,0.11688741721854305,0.039196913433369916,0.35033112582781456,0.0814231416756383,0.026027782314530457,3.02
0.25,100,3,0.06473509933774835,0.02442996105850177,0.12152317880794702,0.03866226047933027,0.3248344370860927,0.07493932644074967,0.022527442188014748,3.13
1.0,500,50,0.052152317880794705,0.023693756378684334,0.08940397350993377,0.03295703898626119,0.27450331125827815,0.06576908733075806,0.023628141059543785,3.09
1.0,100,50,0.05198675496688742,0.0236610153723326,0.0890728476821192,0.03289220955857025,0.27417218543046357,0.06572558578187111,0.023639182788891443,3.21
0.5,500,20,0.060430463576158944,0.023603488235759962,0.11092715231788079,0.036331772972575,0.32019867549668873,0.07333152348721467,0.02287714234204107,3.02
1.0,0,50,0.05132450331125828,0.023517203202926766,0.0890728476821192,0.03292843698097168,0.27417218543046357,0.06575844619128281,0.023696290972588893,3.08
1.0,10,50,0.05149006622516556,0.023484730823900013,0.08940397350993377,0.03292032943722299,0.2740066225165563,0.06565380489049358,0.023589588453235204,3.1
0.25,0,3,0.05,0.02277740231528993,0.08427152317880794,0.03128991623969577,0.2096026490066225,0.05465317995144767,0.020637029600755627,3.28
0.0,0,5,0.0478476821192053,0.022773910929446438,0.07566225165562913,0.029705032789270454,0.16622516556291392,0.04670825397526978,0.01997782543978378,3.02
0.0,10,3,0.04867549668874172,0.022412789130084824,0.08129139072847683,0.0305247310821614,0.16887417218543047,0.04742596710492029,0.019630885145930303,3.04
0.75,100,20,0.057119205298013245,0.022219604804059677,0.10844370860927152,0.03512067592631546,0.3072847682119205,0.07045013159431386,0.02204953946764898,3.77
0.5,100,5,0.05413907284768212,0.020205490472822097,0.11225165562913907,0.034632264679045066,0.34701986754966885,0.07691774975817031,0.021513633493291738,3.03
0.75,0,5,0.04966887417218543,0.020061700667077197,0.09503311258278145,0.031326060122743235,0.34155629139072846,0.07489828952052133,0.021513752599493265,3.03
0.0,0,3,0.03923841059602649,0.017992644403021927,0.06639072847682119,0.02469705602581557,0.10960264900662252,0.033387652950053234,0.015367176077064662,3.09
0.75,10,5,0.041390728476821195,0.015955740040292373,0.0814569536423841,0.025945123594513435,0.329635761589404,0.06965855407081055,0.01844905120675743,3.11
0.25,500,5,0.0390728476821192,0.01416685191807452,0.09586092715231788,0.02814375452007,0.3379139072847682,0.07204257826177557,0.018328868341842084,3.11
0.0,500,3,0.03990066225165563,0.014077224180104899,0.10281456953642384,0.029744687760785087,0.3205298013245033,0.06909152677352183,0.017740217281553786,3.0
0.75,0,3,0.03526490066225166,0.01344844136762272,0.07102649006622516,0.02236565909385805,0.26920529801324505,0.05702000389455162,0.015677171819131544,3.08
0.75,500,20,0.03360927152317881,0.012666151619071428,0.09172185430463577,0.027113642321447064,0.2731788079470199,0.05930001307586966,0.016593603538129005,3.02
0.5,100,3,0.027649006622516556,0.010038663351850049,0.0759933774834437,0.022079422700915983,0.3163907284768212,0.0648785342732642,0.015288448146840043,3.23
0.5,500,10,0.023178807947019868,0.00922719681283758,0.07201986754966887,0.021297546223783128,0.3044701986754967,0.06350965039369108,0.01592176271766601,3.07
0.75,100,10,0.021688741721854303,0.008663271850802514,0.061258278145695365,0.01840527397064783,0.2993377483443709,0.061654886228571695,0.01507103947639364,3.01
